issue_id,phase,category,severity,status,summary,resolution,file
R2-001,phase,R2,plan_schema,CLOSED,New plan schema module added,N/A,
R2-002,phase,R2,mode_model,CLOSED,New mode module added,N/A,
R2-003,phase,R2,authorization,CLOSED,New authorization module added,N/A,
R2-004,phase,R2,state_store,CLOSED-VIA-R3-0,StateStore was isolated; consolidated to scripts/core/state_store.py in R3-0,R3-0,
R2-005,phase,R2,migration,CLOSED,New migration engine added,N/A,
R2-006,phase,R2,acceptance,CLOSED,31 R2 acceptance tests all passing,All 31 tests pass,
R2-007,phase,R2,regression,REOPENED,R1 regression re-run on full suite revealed 29 pre-existing R3 failures,R3-0 verified no R3-0 regressions,
R2-008,phase,R2,deliverables,CLOSED,All 10 R2 deliverables generated,N/A,
R2-009,phase,R2,integration,REOPENED,Two StateStore implementations fixed in R3-0; canonical hash schema_version fixed in R3-0,R3-0,
R3-0-001,phase,R3-0,state_consolidation,CLOSED,Single canonical StateStore at scripts/core/state_store.py,Done in R3-0,
R3-0-002,phase,R3-0,db_path,CLOSED,Canonical DB path: .repro/execution/state.sqlite3,Done in R3-0,
R3-0-003,phase,R3-0,auth_hash,CLOSED,authorization_bound_hash includes schema_version + canonicalization_version,Done in R3-0,
R3-0-004,phase,R3-0,full_regression,CLOSED,Full 258-test suite run; 229 passed; 29 pre-existing R3 failures,229/258 passed,
R3-0-005,phase,R3-0,single_authority,CLOSED,test_single_state_authority passes,R3-0 test_16,
R3-1-001,phase,R3-1,controller,OPEN,Controller.initialize_plan uses legacy method,R3-1,
R3-1-002,phase,R3-1,controller,OPEN,16 orchestrator tests fail due to Controller API mismatch,R3-1,
R3-1-003,phase,R3-1,chaos,OPEN,7 chaos tests fail due to Controller API,R3-1,
R3-1-004,phase,R3-1,stabilization,OPEN,3 stabilization tests fail due to sys.path issues,R3-1,
R3-1-005,phase,R3-1,lock,OPEN,1 lock test fails due to PID liveness artifact,R3-1,
R3-1-006,phase,R3-1,stabilization,OPEN,1 migration test uses legacy API,R3-1,
R3-2-001,phase,R3-2,approval_gate,OPEN,ApprovalGate integration with R2 APPROVED/REJECTED/WAIVED,R3-2,
R3-3-001,phase,R3-3,signal_handling,OPEN,Signal handling tests,R3-3,
R3-4-001,phase,R3-4,process_manager,OPEN,ProcessManager unknown exit codes,R3-4,
R3-5-001,phase,R3-5,recovery,OPEN,Recovery system,R3-5,
R3-6-001,phase,R3-6,gpu_lock,OPEN,GPU resource lock,R3-6,
R3-7-001,phase,R3-7,shell_safety,OPEN,Shell command safety boundary,R3-7,
