command,sub,description,happy_path,risk,mitigation,test
run,orchestrator,Start the controller loop in the foreground until blocked-or-complete exit,"`reproctl run --project <P> --plan <plan.yaml> --automation safe-auto`","Premature exit before all mandatory tasks pass","Run loop continues while any READY/APPROVED/RUNNING/VERIFYING/RETRY_WAIT/WAITING_APPROVAL task exists; only exits COMPLETE/BLOCKED/WAITING_APPROVAL/PAUSED/STOPPED","1,2,3,4,5,6,7,8,9,10,11,12,14"
run --resume,orchestrator,Re-enter the loop with state preserved,"`reproctl run --project <P> --plan <plan.yaml> --resume`","Already-PASS tasks might be re-run","RecoveryManager skips PASS tasks and rejoins live PIDs","9,10"
run --mode strict,orchestrator,Switch to strict reproduction mode,"`reproctl run --project <P> --plan <plan.yaml> --mode strict`","Mode accepted but ignored","Plan loader validates mode is strict|optimized","1"
pause,orchestrator,Mark control state PAUSED on next tick,"`reproctl pause --project <P>`","Long-running children not terminated","Watchdog does not stop children on PAUSE","13"
continue,orchestrator,Restore control state to RUNNING,"`reproctl continue --project <P>`","Paused while a task is mid-flight","Children continue to run; controller picks them up on next tick","13"
stop,orchestrator,Mark control state STOPPED and terminate children,"`reproctl stop --project <P>`","Orphaned child processes","ProcessManager sends SIGTERM, then SIGKILL after grace","13"
status,orchestrator,Snapshot of controller state,"`reproctl status --project <P>`","Reading sqlite while writer holds lock","StateStore opens a fresh connection per query; WAL mode avoids blocking","covered indirectly via smoke test"
next,orchestrator,Show the next task the scheduler would claim,"`reproctl next --project <P> --plan <plan.yaml>`","Side-effect from reading the plan","PolicyEngine.load() and Scheduler.refresh() never mutate state","covered indirectly via smoke test"
approve,orchestrator,Approve a pending approval request,"`reproctl approve apr_xxx --project <P>`","Approving wrong task","Approval id is unique (apr_<hex>) and the user can pass either id or task id","5,6,15"
reject,orchestrator,Reject a pending approval request,"`reproctl reject apr_xxx --project <P> --reason 'no'`","Skipping a task that was already approved by another channel","decide_approval fails fast if status != PENDING","7"
events,orchestrator,Dump event log as JSON,"`reproctl events --project <P> --limit 200`","JSON pagination overflow","after_seq parameter supports streaming","covered indirectly via smoke test"
daemon start,orchestrator,Spawn detached controller via nohup + setsid + pidfile,"`reproctl daemon start --project <P> --plan <plan.yaml>`","Process file goes stale after crash","daemon stop checks PID alive; recovery reads heartbeat","covered indirectly via smoke test"
daemon status,orchestrator,Read daemon PID + heartbeat,"`reproctl daemon status --project <P>`","Stale PID after daemon crash","Reports STALE when PID is not alive","covered indirectly via smoke test"
daemon stop,orchestrator,SIGTERM (then SIGKILL) the daemon and clear pidfile,"`reproctl daemon stop --project <P>`","Zombie children left behind","Watchdog terminates running managed tasks","covered indirectly via smoke test"
