requirement_id,category,description,status,evidence_file,test_file,notes
REQ-001,State Versioning,schema_version in state.sqlite3 metadata table (schema_version key),PARTIAL,scripts/orchestrator/state_store.py (lines 83-116, _initialize creates metadata table; set_metadata stores plan_id/mode/automation/budgets but no schema_version key),,metadata table exists and stores plan metadata keys but lacks a schema_version field — needs explicit schema_version key insertion and migration
REQ-002,State Versioning,plugin_version in state.sqlite3 metadata table (plugin_version key),MISSING,,,.stabilization/stabilization_state.json has plugin_version but state.sqlite3 metadata table has no plugin_version key
REQ-003,State Versioning,created_at / updated_at timestamps in metadata table,MISSING,,,metadata table has no created_at/updated_at fields; tasks table has updated_at but no created_at
REQ-004,State Versioning,project_id / plan_hash in metadata table,PARTIAL,scripts/orchestrator/state_store.py (initialize_plan stores plan_id; plan_path stored as string),,plan_id stored but plan_hash (SHA256 of plan file content) is not computed or stored
REQ-005,State Versioning,execution_state.json contains version fields (schema_version, plugin_version, created_at),MISSING,,,.stabilization/stabilization_state.json exists at plugin root but not at project root; no versioned execution_state.json in project .repro/
REQ-006,State Versioning,task_graph.yaml / plan file contains version metadata,MISSING,,,Plan YAML loaded via load_plan() has no version field requirement; no schema validation on plan load
REQ-007,State Versioning,automation_policy.yaml contains version fields,MISSING,,,No automation_policy.yaml versioning mechanism exists
REQ-008,State Versioning,adapter configuration files contain version fields,MISSING,,,No adapter configuration system implemented
REQ-009,State Versioning,run manifest files contain version fields,MISSING,,,No run manifest versioning system exists
REQ-010,State Versioning,evidence index files contain version fields,MISSING,,,No evidence index versioning mechanism
REQ-011,Migration,reproctl migrate --check-only dry-run check mode,IMPLEMENTED_UNVERIFIED,scripts/startup/cli.py (EXIT_BAD_CONFIG/EXIT_INVALID_PLAN),,startup/cli.py has config parse but no migrate subcommand; reproctl.py has no migrate command
REQ-012,Migration,reproctl migrate --target-version VERSION upgrade/downgrade,IMPLEMENTED_UNVERIFIED,scripts/startup/cli.py,,No migrate command; startup/cli.py has no version-targeted migration
REQ-013,Migration,Migration creates automatic backup before applying changes,IMPLEMENTED_UNVERIFIED,,,No automated backup triggered before state migrations
REQ-014,Migration,Transaction-based migration (all-or-nothing),IMPLEMENTED_UNVERIFIED,scripts/orchestrator/state_store.py (lines 64-80, transaction context manager),,state_store.transaction() exists but no migration用它
