path,category,reason
agents/data-metric-auditor.md,KEEP_DOCS,Agent definition file for data metrics
agents/evidence-verifier.md,KEEP_DOCS,Agent definition file for evidence verification
agents/hardware-fit-auditor.md,KEEP_DOCS,Agent definition file for hardware fit
agents/repo-scout.md,KEEP_DOCS,Agent definition file for repository scouting
agents/repro-lead.md,KEEP_DOCS,Agent definition file for reproduction lead
agents/review-auditor.md,KEEP_DOCS,Agent definition file for review audit
agents/runtime-optimizer.md,KEEP_DOCS,Agent definition file for runtime optimization
artifacts/evidence_index.json,KEEP_CONFIG,Artifact index for evidence tracking
artifacts/l0_l3_results.json,KEEP_CONFIG,Experiment results artifact
artifacts/runs/run_20260716_085646/command.txt,EXPERIMENT_OUTPUT,Run command output
artifacts/runs/run_20260716_085646/metrics.csv,EXPERIMENT_OUTPUT,Run metrics data
artifacts/runs/run_20260716_085646/run_manifest.json,EXPERIMENT_OUTPUT,Run manifest
artifacts/runs/run_20260716_085646/verification.json,EXPERIMENT_OUTPUT,Run verification results
artifacts/runs/run_20260716_085646/checkpoints,EXPERIMENT_OUTPUT,Run checkpoint outputs
artifacts/runs/run_20260716_085646/confmat,EXPERIMENT_OUTPUT,Run confusion matrices
artifacts/runs/run_20260716_085646/figures,EXPERIMENT_OUTPUT,Run generated figures
artifacts/runs/run_20260716_085646/predictions,EXPERIMENT_OUTPUT,Run predictions
artifacts/fast_exploration,LOCAL_RUNTIME,Fast exploration runtime data
artifacts/smoke_check,LOCAL_RUNTIME,Smoke check runtime data
artifacts/statistical_reproduction,LOCAL_RUNTIME,Statistical reproduction data
artifacts/strict_confirmation,LOCAL_RUNTIME,Strict confirmation data
audits/orchestrator_v0.1.0/command_matrix.csv,KEEP_DOCS,Audit command matrix
audits/orchestrator_v0.1.0/e2e_report.md,KEEP_DOCS,End-to-end audit report
audits/orchestrator_v0.1.0/fix_D2_D3.md,KEEP_DOCS,Audit fix documentation
audits/orchestrator_v0.1.0/fix_orphan_workers.md,KEEP_DOCS,Audit fix for orphan workers
audits/orchestrator_v0.1.0/test_report.md,KEEP_DOCS,Audit test report
audits/startup_v0.2.0/command_matrix.csv,KEEP_DOCS,Startup audit command matrix
audits/startup_v0.2.0/installation_checklist.md,KEEP_DOCS,Installation audit checklist
audits/startup_v0.2.0/recovery_test_report.md,KEEP_DOCS,Recovery test report
audits/startup_v0.2.0/startup_test_report.md,KEEP_DOCS,Startup test report
AUTOMATION_ARCHITECTURE.md,KEEP_DOCS,Architecture documentation
AUTOPILOT_IMPLEMENTATION_PLAN.md,KEEP_DOCS,Autopilot implementation plan
AUTOPILOT_IMPLEMENTATION_REPORT.md,KEEP_DOCS,Autopilot implementation report
automation_policy.yaml,KEEP_CONFIG,Automation policy configuration
.cache/crawler/_index.json,CACHE,Crawler cache index
CHANGELOG.md,KEEP_DOCS,Project changelog
ci_reports/ci_summary.md,KEEP_DOCS,CI summary report
ci_reports/fault_detection.csv,KEEP_DOCS,CI fault detection data
ci_reports/flaky_tests.csv,KEEP_DOCS,CI flaky tests data
ci_reports/mandatory_checks.md,KEEP_DOCS,CI mandatory checks
ci_reports/pass_rate.json,KEEP_DOCS,CI pass rate data
commands/geoai-audit.md,KEEP_DOCS,Command documentation for geoai audit
commands/geoai-discover.md,KEEP_DOCS,Command documentation for geoai discover
commands/repro-acquire.md,KEEP_DOCS,Command documentation for acquire
commands/repro-audit.md,KEEP_DOCS,Command documentation for audit
commands/repro-autopilot.md,KEEP_DOCS,Command documentation for autopilot
commands/repro-benchmark.md,KEEP_DOCS,Command documentation for benchmark
commands/repro-card.md,KEEP_DOCS,Command documentation for card
commands/repro-contract.md,KEEP_DOCS,Command documentation for contract
commands/repro-crawl.md,KEEP_DOCS,Command documentation for crawl
commands/repro-decision.md,KEEP_DOCS,Command documentation for decision
commands/repro-discover.md,KEEP_DOCS,Command documentation for discover
commands/repro-doctor.md,KEEP_DOCS,Command documentation for doctor
commands/repro-evidence-chain.md,KEEP_DOCS,Command documentation for evidence chain
commands/repro-evolution.md,KEEP_DOCS,Command documentation for evolution
commands/repro-failure.md,KEEP_DOCS,Command documentation for failure
commands/repro-fit-hardware.md,KEEP_DOCS,Command documentation for hardware fit
commands/repro-handoff.md,KEEP_DOCS,Command documentation for handoff
commands/repro-init.md,KEEP_DOCS,Command documentation for init
commands/repro-launch.md,KEEP_DOCS,Command documentation for launch
commands/repro-monitor.md,KEEP_DOCS,Command documentation for monitor
commands/repro-open-morning-report.md,KEEP_DOCS,Command documentation for morning report
commands/repro-pause-soak.md,KEEP_DOCS,Command documentation for pause soak
commands/repro-perf.md,KEEP_DOCS,Command documentation for performance
commands/repro-plan.md,KEEP_DOCS,Command documentation for plan
commands/repro-plan-soak.md,KEEP_DOCS,Command documentation for plan soak
commands/repro-preflight.md,KEEP_DOCS,Command documentation for preflight
commands/repro-report.md,KEEP_DOCS,Command documentation for report
commands/repro-resume.md,KEEP_DOCS,Command documentation for resume
commands/repro-resume-soak.md,KEEP_DOCS,Command documentation for resume soak
commands/repro-review.md,KEEP_DOCS,Command documentation for review
commands/repro-short-loop.md,KEEP_DOCS,Command documentation for short loop
commands/repro-soak-rehearsal.md,KEEP_DOCS,Command documentation for soak rehearsal
commands/repro-start.md,KEEP_DOCS,Command documentation for start
commands/repro-start-soak.md,KEEP_DOCS,Command documentation for start soak
commands/repro-status.md,KEEP_DOCS,Command documentation for status
commands/repro-stop.md,KEEP_DOCS,Command documentation for stop
commands/repro-stop-soak.md,KEEP_DOCS,Command documentation for stop soak
commands/repro-verify.md,KEEP_DOCS,Command documentation for verify
commands/repro-view-soak-status.md,KEEP_DOCS,Command documentation for view soak status
commands/research-extend.md,KEEP_DOCS,Command documentation for research extend
.cursor-plugin/plugin.json,KEEP_CONFIG,Cursor plugin configuration
docs/architecture.md,KEEP_DOCS,Architecture documentation
docs/automation_workflow.md,KEEP_DOCS,Automation workflow documentation
docs/backup_migration_recovery.md,KEEP_DOCS,Backup and recovery documentation
docs/bug_repair.md,KEEP_DOCS,Bug repair documentation
docs/command_reference.md,KEEP_DOCS,Command reference documentation
docs/complete_manual.md,KEEP_DOCS,Complete manual
docs/configuration_reference.md,KEEP_DOCS,Configuration reference
docs/faq.md,KEEP_DOCS,FAQ documentation
docs/generated/cli_help.txt,GENERATED,Generated CLI help text
docs/generated/config_fields.csv,GENERATED,Generated config fields
docs/generated/cursor_commands.csv,GENERATED,Generated cursor commands
docs/generated/documentation_validation.md,GENERATED,Generated validation doc
docs/generated/feature_status.csv,GENERATED,Generated feature status
docs/glossary.md,KEEP_DOCS,Glossary
docs/hardware_and_performance.md,KEEP_DOCS,Hardware and performance docs
docs/new_project_workflow.md,KEEP_DOCS,New project workflow
docs/orchestrator/PLAN_SCHEMA.md,KEEP_DOCS,Orchestrator plan schema
docs/orchestrator/RUN_LOOP.md,KEEP_DOCS,Orchestrator run loop docs
docs/ostar_manual.md,KEEP_DOCS,OSTAR manual
docs/project_structure.md,KEEP_DOCS,Project structure documentation
docs/quickstart.md,KEEP_DOCS,Quickstart guide
docs/README.md,KEEP_DOCS,Documentation index
docs/REHEARSAL_REPORT.md,KEEP_DOCS,Rehearsal report
docs/reproduction_protocol.md,KEEP_DOCS,Reproduction protocol
docs/roadmap.md,KEEP_DOCS,Roadmap documentation
docs/search_and_github.md,KEEP_DOCS,Search and GitHub documentation
docs/security.md,KEEP_DOCS,Security documentation
docs/STARTUP.md,KEEP_DOCS,Startup documentation
docs/STARTUP_COMPLETION_CHECKLIST.md,KEEP_DOCS,Startup checklist
docs/takeover_workflow.md,KEEP_DOCS,Takeover workflow documentation
docs/testing_and_ci.md,KEEP_DOCS,Testing and CI documentation
docs/troubleshooting.md,KEEP_DOCS,Troubleshooting documentation
docs/VERDICT.md,KEEP_DOCS,Verdict documentation
docs/html,GENERATED,Generated HTML documentation
docs/html/assets/app.js,GENERATED,Generated JavaScript asset
docs/html/assets/icons.svg,GENERATED,Generated icons asset
docs/html/assets/logo.svg,GENERATED,Generated logo asset
docs/html/assets/search-index.json,GENERATED,Generated search index
docs/html/assets/styles.css,GENERATED,Generated stylesheet
docs/html/build.py,GENERATED,HTML build script
docs/html/complete_manual.html,GENERATED,Generated HTML manual
docs/html/index.html,GENERATED,Generated index page
docs/html/pages,GENERATED,Generated HTML pages
docs/html/validate.py,GENERATED,HTML validation script
docs/html/zh-CN,GENERATED,Generated Chinese HTML docs
.execution/commands/execute-next.md,LOCAL_RUNTIME,Execution command
.execution/commands/final-audit.md,LOCAL_RUNTIME,Final audit command
.execution/commands/plan-init.md,LOCAL_RUNTIME,Plan init command
.execution/commands/resume.md,LOCAL_RUNTIME,Resume command
.execution/commands/verify-phase.md,LOCAL_RUNTIME,Verify phase command
.execution/evidence,EXPERIMENT_OUTPUT,Execution evidence logs
.execution/execution_state.json,LOCAL_RUNTIME,Execution state
.execution/PLAN_HASH,LOCAL_RUNTIME,Plan hash
.execution/plan_snapshot.md,LOCAL_RUNTIME,Plan snapshot
.execution/requirement_traceability.csv,LOCAL_RUNTIME,Requirement traceability
.execution/task_graph.yaml,LOCAL_RUNTIME,Task graph
.execution/task_journal.jsonl,LOCAL_RUNTIME,Task journal
.execution/task_reports,LOCAL_RUNTIME,Task reports
fixtures/golden_pointcloud_B/generate_test_data.py,KEEP_SOURCE,Test data generator for point cloud
fixtures/golden_pointcloud_B/plan.yaml,KEEP_CONFIG,Test plan configuration
fixtures/golden_pointcloud_B/requirements.txt,KEEP_CONFIG,Test requirements
fixtures/golden_pointcloud_B/test_golden_pointcloud_B.py,KEEP_TEST,Test file for point cloud B
fixtures/golden_pointcloud_B/train.py,KEEP_SOURCE,Training script for point cloud
fixtures/golden_torch_A/expected_events.json,KEEP_CONFIG,Expected events for torch test
fixtures/golden_torch_A/expected_state_sequence.json,KEEP_CONFIG,Expected state sequence
fixtures/golden_torch_A/plan.yaml,KEEP_CONFIG,Test plan configuration
fixtures/golden_torch_A/requirements.txt,KEEP_CONFIG,Test requirements
fixtures/golden_torch_A/test_golden_torch_A.py,KEEP_TEST,Test file for torch A
fixtures/golden_torch_A/train.py,KEEP_SOURCE,Training script for torch
fixtures/minimal_pytorch_repo/README.md,KEEP_DOCS,Minimal PyTorch repo documentation
