module_id,name,path,status,verified_commands,notes
CORE-001,reproctl CLI,scripts/reproctl.py,STABLE,"start, doctor, status, resume, stop, verify, version, init, can-launch, launch, run-short-loop, report, update-gate, record-experiment, update-experiment, get-experiments, human-checkpoint, check-principles, integrity-check, storage","Version 0.2.0. Unified dispatcher for startup + orchestrator + legacy commands"
CORE-002,State Store,scripts/orchestrator/state_store.py,STABLE,"SQLite WAL mode, heartbeat, snapshots (JSON/YAML/CSV)","5 tables: metadata, tasks, approvals, events, heartbeats"
CORE-003,Controller,scripts/orchestrator/controller.py,BETA,"run, pause, continue, stop, status","Persistent loop with task scheduling"
CORE-004,Task Executor,scripts/orchestrator/task_executor.py,BETA,"subprocess execution, timeout, acceptance tests","Uses ProcessManager for process lifecycle"
CORE-005,Watchdog,scripts/orchestrator/watchdog.py,BETA,"stall detection","Monitors running processes"
CORE-006,Verifier,scripts/orchestrator/verifier.py,BETA,"acceptance test execution","Runs acceptance_tests from task definition"
CORE-007,Policy Engine,scripts/orchestrator/policy_engine.py,EXPERIMENTAL,"policy evaluation","safe-auto default policy"
CORE-008,Event Journal,scripts/orchestrator/event_journal.py,INTERNAL,"event appending","Used by StateStore for audit trail"
CORE-009,Startup CLI,scripts/startup/cli.py,BETA,"start, doctor, status, resume, stop, verify, version","Unified entry point for startup system"
CORE-010,Doctor,scripts/startup/doctor.py,BETA,"preflight checks (16 checks)","PASS/WARNING/FAIL status, mandatory blocks start"
CORE-011,Lock,scripts/startup/lock.py,BETA,"pidfile lock with plan hash","Supports acquire, release, inspect, LockHeld exception"
CORE-012,State Machine,scripts/startup/state_machine.py,BETA,"bootstrap, discover, preflight, state_check","claim_one, bootstrap_exec_layout"
CORE-013,Secrets Redactor,scripts/startup/secrets_redactor.py,STABLE,"log sanitization","Masks API keys, tokens, passwords"
CORE-014,Config,scripts/startup/config.py,STABLE,"config resolution","Merges CLI args + config file + env vars"
CORE-015,Recovery,scripts/startup/recovery.py,BETA,"interrupted resume","Clears interrupted flags, re-claims tasks"
CORE-016,Plan Validate,scripts/startup/plan_validate.py,BETA,"plan schema validation","Validates YAML frontmatter"
CORE-017,Migrate Module,scripts/orchestrator/migrate.py,EXPERIMENTAL,"migrate, rollback","Schema version management"
CORE-018,Backup Module,scripts/orchestrator/backup.py,EXPERIMENTAL,"backup, restore, integrity-check","Snapshot-based backup/restore"
CORE-019,Storage Governance,scripts/startup/storage_governance.py,EXPERIMENTAL,"status, plan-cleanup, cleanup, apply","Disk policy + retention enforcement"
CORE-020,Search Crawler,scripts/research_crawler.py,EXPERIMENTAL,"GitHub search","Web content crawling for repo discovery"
CORE-021,Perf Tuner,scripts/repro_perf_tuner.py,EXPERIMENTAL,"GPU tuning","Hardware optimization scripts"
CORE-022,Training Monitor,scripts/training_monitor.py,EXPERIMENTAL,"GPU monitoring","Real-time training metrics"
CORE-023,Artifact Verify,scripts/artifact_verify.py,BETA,"evidence validation","Artifact integrity checks"
CORE-024,Compare Runs,scripts/compare_runs.py,BETA,"run comparison","Compare experiment results"
CORE-025,Env Check,scripts/environment_check.py,BETA,"env validation","Environment prerequisite checks"
CORE-026,Approval Gate,scripts/orchestrator/approval_gate.py,BETA,"human approval workflow","WAITING_APPROVAL state handling"
CORE-027,Process Manager,scripts/orchestrator/process_manager.py,BETA,"process lifecycle","is_alive, terminate, kill"
CORE-028,Scheduler,scripts/orchestrator/scheduler.py,BETA,"task scheduling","DAG-based task ordering"
CORE-029,Generate Artifacts,scripts/startup/generate_artifacts.py,EXPERIMENTAL,"evidence generation","Creates startup artifacts"
CORE-030,Log Setup,scripts/startup/log_setup.py,STABLE,"logger configuration","Structured logging"
CORE-031,Orchestrator CLI,scripts/orchestrator/cli.py,BETA,"run, pause, continue, stop, status, events, next, approve, reject, daemon, migrate, backup, restore, integrity-check, rollback-version","Task execution controller"
