test_node_id,R1_status,R3_status,current_status,first_known_bad_phase,classification,root_cause,evidence
tests.test_chaos.TestAutoRetryHitsLimit::test_max_retries_then_fail,n/a,n/a,FAILED_CHAOS,UNVERIFIED_no_bisect_evidence,REGRESSION,legacy_status_column: schema migrated but chaos still uses old status column,sqlite3.OperationalError: no such column: status
tests.test_chaos.TestCheckpointCorruption::test_corrupted_checkpoint_detected,n/a,n/a,PASSED,UNVERIFIED_no_bisect_evidence,PASSED,OK,
tests.test_chaos.TestCheckpointWriteInterrupted::test_partial_checkpoint_not_used,n/a,n/a,PASSED,UNVERIFIED_no_bisect_evidence,PASSED,OK,
tests.test_chaos.TestDataFileMissing::test_missing_data_clear_error,n/a,n/a,FAILED_CHAOS,UNVERIFIED_no_bisect_evidence,REGRESSION,"is_a_directory: missing_data test creates ""golden"" path; copy-tree logic hits a directory",IsADirectoryError: [Errno 21] Is a directory: '/tmp/pytest-of-carlkestrel/pytest-42/test_missing_data_clear_error0/golden'
tests.test_chaos.TestDiskSpaceExhausted::test_safe_stop_before_corruption,n/a,n/a,FAILED_CHAOS,UNVERIFIED_no_bisect_evidence,REGRESSION,"watchdog_command: tests probe ""watchdog"" CLI but implementation does not expose it","AssertionError: Watchdog command should not crash
assert ('watchdog' in '' or 2 in (0, 1))
 +  where '' = <built-in method lower of str object at 0x5faf872705e0>()
 +    where <built-in method lower o"
tests.test_chaos.TestExecutorKilled::test_kill_9_detects_and_recovers,n/a,n/a,PASSED,UNVERIFIED_no_bisect_evidence,PASSED,OK,
tests.test_chaos.TestFalseCompleteRefusal::test_blocked_task_not_marked_complete,n/a,n/a,PASSED,UNVERIFIED_no_bisect_evidence,PASSED,OK,
tests.test_chaos.TestGpuUnavailable::test_gpu_unavailable_graceful_degradation,n/a,n/a,PASSED,UNVERIFIED_no_bisect_evidence,PASSED,OK,
tests.test_chaos.TestJsonStateHalfWrite::test_partial_json_state_not_corrupted,n/a,n/a,PASSED,UNVERIFIED_no_bisect_evidence,PASSED,OK,
tests.test_chaos.TestLogfileStalls::test_watchdog_detects_stalled_task,n/a,n/a,FAILED_CHAOS,UNVERIFIED_no_bisect_evidence,REGRESSION,"watchdog_command: tests probe ""watchdog"" CLI but implementation does not expose it","AssertionError: Watchdog should execute without crashing
assert ('watchdog' in '' or 2 in (0, 1))
 +  where '' = <built-in method lower of str object at 0x5faf872705e0>()
 +    where <built-in method "
tests.test_chaos.TestPassTaskEvidenceDeleted::test_missing_evidence_detected,n/a,n/a,PASSED,UNVERIFIED_no_bisect_evidence,PASSED,OK,
tests.test_chaos.TestPlanChangesDuringRecovery::test_plan_hash_prevents_stale_plan,n/a,n/a,FAILED_CHAOS,UNVERIFIED_no_bisect_evidence,REGRESSION,plan_hash_stale: resume CLI returns rc=8 instead of 0/1; gating threshold mismatch,"AssertionError: Resume should handle plan changes gracefully
assert 8 in (0, 1)
 +  where 8 = CompletedProcess(args=['/tmp/kestrel_r1_workspace/kestrel_r1_venv/bin/python', '/home/carlkestrel/.cursor/"
tests.test_chaos.TestPluginUpgradesDuringTask::test_plugin_version_recorded,n/a,n/a,PASSED,UNVERIFIED_no_bisect_evidence,PASSED,OK,
tests.test_chaos.TestSqliteLocked::test_sqlite_locked_retries_or_fails,n/a,n/a,FAILED_CHAOS,UNVERIFIED_no_bisect_evidence,REGRESSION,sqlite_locked: chaotic env returns non-matching stdout; lock path not handled,"AssertionError: Should handle SQLite lock gracefully
assert ('locked' in '' or 'locked' in '' or 'busy' in '' or 'busy' in '' or -15 == 0)
 +  where '' = <built-in method lower of str object at 0x5faf"
