requirement_id,source,requirement,mandatory,task_ids,implementation_files,test_ids,evidence_files,status,reviewer,notes
R_P1_01,plan L979-L1057,Phase 1: 模式+合同+状态机 — state.json 含 project_mode 字段,YES,P1_T01,scripts/reproctl.py,,.execution/evidence/P1_T01_state_diff.txt,PENDING,execute-next,核心基础
R_P1_02,plan L979-L1057,Phase 1: reproctl.py 提供 mode 读写检查函数,YES,P1_T02,scripts/reproctl.py,,.execution/evidence/P1_T02_functions.txt,PENDING,execute-next,
R_P1_03,plan L996-L1004,Phase 1: Decision Log 模板,YES,P1_T03,templates/decision_log.md,,.execution/evidence/P1_T03_template.md,PENDING,execute-next,
R_P1_04,plan L1006-L1025,Phase 1: Research Contract 模板,YES,P1_T04,templates/research_contract.md,,.execution/evidence/P1_T04_template.md,PENDING,execute-next,
R_P1_05,plan L1027-L1037,Phase 1: /repro-contract 命令 + CONTROL_FLAGS 模板,YES,P1_T05,commands/repro-contract.md templates/control_flags.md,,.execution/evidence/P1_T05_commands.md,PENDING,execute-next,
R_P2_01,plan L1060-L1126,Phase 2: Claim-Evidence 矩阵 11 列,YES,P2_T01,templates/claim_evidence_matrix.md,,.execution/evidence/P2_T01_template.md,PENDING,execute-next,
R_P2_02,plan L1079-L1095,Phase 2: EXPERIMENT_PLAN M0-M10,YES,P2_T02,templates/experiment_plan.md,,.execution/evidence/P2_T02_template.md,PENDING,execute-next,
R_P2_03,plan L1097-L1102,Phase 2: EXPERIMENT_TRACKER CSV,YES,P2_T03,templates/experiment_tracker.csv,,.execution/evidence/P2_T03_template.csv,PENDING,execute-next,
R_P2_04,plan L1104-L1116,Phase 2: /repro-plan 命令,YES,P2_T04,commands/repro-plan.md,,.execution/evidence/P2_T04_command.md,PENDING,execute-next,
R_P2_05,plan L1118-L1124,Phase 2: reproctl.py 实验追踪 3 命令,YES,P2_T05,scripts/reproctl.py,,.execution/evidence/P2_T05_experiments_test.log,PENDING,execute-next,
R_P3_01,plan L1128-L1167,Phase 3: Human Checkpoints 12 项,YES,P3_T01,templates/human_checkpoints.md,,.execution/evidence/P3_T01_template.md,PENDING,execute-next,
R_P3_02,plan L1148-L1157,Phase 3: reproctl.py human-checkpoint 命令,YES,P3_T02,scripts/reproctl.py,,.execution/evidence/P3_T02_human_checkpoint_test.log,PENDING,execute-next,
R_P3_03,plan L1159-L1166,Phase 3: /repro-launch 前置检查,YES,P3_T03,commands/repro-launch.md,,.execution/evidence/P3_T03_launch_diff.txt,PENDING,execute-next,
R_P4_01,plan L1170-L1259,Phase 4: training_monitor.py 9 状态 15 指标,YES,P4_T01,scripts/training_monitor.py,,.execution/evidence/P4_T01_monitor_import.log,PENDING,execute-next,高风险长任务
R_P4_02,plan L1202-L1209,Phase 4: /repro-monitor 三种模式,YES,P4_T02,commands/repro-monitor.md,,.execution/evidence/P4_T02_command.md,PENDING,execute-next,
R_P4_03,plan L1211-L1228,Phase 4: handoff.json 12 字段,YES,P4_T03,templates/handoff.json,,.execution/evidence/P4_T03_template.json,PENDING,execute-next,
R_P4_04,plan L1230-L1238,Phase 4: /repro-handoff 命令,YES,P4_T04,commands/repro-handoff.md,,.execution/evidence/P4_T04_command.md,PENDING,execute-next,
R_P4_05,plan L1240-L1251,Phase 4: project_memory.md 模板,YES,P4_T05,templates/project_memory.md,,.execution/evidence/P4_T05_template.md,PENDING,execute-next,
R_P4_06,plan L1253-L1259,Phase 4: TELEMETRY.jsonl 输出,YES,P4_T06,scripts/training_monitor.py,,.execution/evidence/P4_T06_telemetry_test.log,PENDING,execute-next,
R_P5_01,plan L1263-L1299,Phase 5: review-auditor Agent 8 维度,YES,P5_T01,agents/review-auditor.md,,.execution/evidence/P5_T01_agent.md,PENDING,execute-next,
R_P5_02,plan L1275-L1284,Phase 5: /repro-review 命令,YES,P5_T02,commands/repro-review.md,,.execution/evidence/P5_T02_command.md,PENDING,execute-next,
R_P5_03,plan L1286-L1291,Phase 5: evidence-verifier 增强,YES,P5_T03,agents/evidence-verifier.md,,.execution/evidence/P5_T03_diff.txt,PENDING,execute-next,
R_P5_04,plan L1293-L1298,Phase 5: repro-decision Final Reviewer,YES,P5_T04,commands/repro-decision.md,,.execution/evidence/P5_T04_diff.txt,PENDING,execute-next,
R_P6_01,plan L1302-L1341,Phase 6: NARRATIVE_REPORT 13 节,YES,P6_T01,templates/narrative_report.md,,.execution/evidence/P6_T01_template.md,PENDING,execute-next,
R_P6_02,plan L1324-L1331,Phase 6: /repro-report 命令,YES,P6_T02,commands/repro-report.md,,.execution/evidence/P6_T02_command.md,PENDING,execute-next,
R_P6_03,plan L1333-L1340,Phase 6: repro-decision 前置条件,YES,P6_T03,commands/repro-decision.md,,.execution/evidence/P6_T03_diff.txt,PENDING,execute-next,
R_P7_01,plan L1344-L1384,Phase 7: /research-extend 命令,YES,P7_T01,commands/research-extend.md,,.execution/evidence/P7_T01_command.md,PENDING,execute-next,
R_P7_02,plan L1361-L1367,Phase 7: repro-lead 增强,YES,P7_T02,agents/repro-lead.md,,.execution/evidence/P7_T02_diff.txt,PENDING,execute-next,
R_P7_03,plan L1369-L1379,Phase 7: plugin.json 注册 6 命令,YES,P7_T03,.cursor-plugin/plugin.json,,.execution/evidence/P7_T03_plugin_diff.json,PENDING,execute-next,
R_P7_04,plan L1381-L1383,Phase 7: 删除重复 source-auditor,YES,P7_T04,agents/source-auditor.md,,.execution/evidence/P7_T04_deletion_log.md,PENDING,execute-next,
R_P8_01,plan L1387-L1421,Phase 8: 3 核心机制测试,YES,P8_T01,tests/test_state_machine.py tests/test_mode_switch.py tests/test_human_checkpoint.py,,.execution/evidence/P8_T01_unit_tests.log,PENDING,execute-next,高风险
R_P8_02,plan L1387-L1421,Phase 8: 4 恢复与等价性测试,YES,P8_T02,tests/test_handoff.py tests/test_checkpoint_recovery.py tests/test_metrics_recompute.py tests/test_parity.py,,.execution/evidence/P8_T02_recovery_tests.log,PENDING,execute-next,
R_P8_03,plan L1387-L1421,Phase 8: E2E + 插件发现测试,YES,P8_T03,tests/test_minimal_e2e.py tests/fixtures/minimal_pytorch_repo tests/test_plugin_discovery.py,,.execution/evidence/P8_T03_e2e_test.log,PENDING,execute-next,高风险
R_P9_01,plan L1424-L1551,Phase 9: paper-reproduction 20 方向,YES,P9_T01,skills/paper-reproduction/SKILL.md,,.execution/evidence/P9_T01_diff.txt,PENDING,execute-next,
R_P9_02,plan L1424-L1551,Phase 9: repo-scout 9 维度扩展,YES,P9_T02,agents/repo-scout.md,,.execution/evidence/P9_T02_diff.txt,PENDING,execute-next,
R_P9_03,plan L1424-L1551,Phase 9: repository-selection A-E 分级,YES,P9_T03,skills/repository-selection/SKILL.md,,.execution/evidence/P9_T03_diff.txt,PENDING,execute-next,
R_P9_04,plan L1424-L1551,Phase 9: dataset_registry 12 字段,YES,P9_T04,templates/dataset_registry.md,,.execution/evidence/P9_T04_template.md,PENDING,execute-next,
R_P9_05,plan L1424-L1551,Phase 9: topic_graph.json 3 主方向,YES,P9_T05,templates/topic_graph.json,,.execution/evidence/P9_T05_template.json,PENDING,execute-next,
R_P9_06,plan L1525-L1535,Phase 9: /geoai-discover 命令,YES,P9_T06,commands/geoai-discover.md,,.execution/evidence/P9_T06_command.md,PENDING,execute-next,
R_P9_07,plan L1538-L1550,Phase 9: /geoai-audit 命令,YES,P9_T07,commands/geoai-audit.md,,.execution/evidence/P9_T07_command.md,PENDING,execute-next,
R_P10_01,plan L1555-L1626,Phase 10: search_plan.yaml 模板,YES,P10_T01,templates/search_plan.yaml,,.execution/evidence/P10_T01_template.yaml,PENDING,execute-next,
R_P10_02,plan L1563-L1571,Phase 10: repo-scout 四阶段检索,YES,P10_T02,agents/repo-scout.md,,.execution/evidence/P10_T02_diff.txt,PENDING,execute-next,
R_P10_03,plan L1573-L1577,Phase 10: research_crawler.py ~250 行 11 约束,YES,P10_T03,scripts/research_crawler.py,,.execution/evidence/P10_T03_crawler_import.log,PENDING,execute-next,高风险
R_P10_04,plan L1580-L1583,Phase 10: crawler-input-safety.mdc,YES,P10_T04,rules/crawler-input-safety.mdc,,.execution/evidence/P10_T04_rule.md,PENDING,execute-next,
R_P10_05,plan L1585-L1589,Phase 10: repository-selection 14 评分,YES,P10_T05,skills/repository-selection/SKILL.md,,.execution/evidence/P10_T05_diff.txt,PENDING,execute-next,
R_P10_06,plan L1592-L1598,Phase 10: artifact_verify 搜索结果验证,YES,P10_T06,scripts/artifact_verify.py,,.execution/evidence/P10_T06_artifact_verify_test.log,PENDING,execute-next,
R_P10_07,plan L1601-L1605,Phase 10: search_lessons.jsonl 10 字段,YES,P10_T07,templates/search_lessons.jsonl,,.execution/evidence/P10_T07_template.jsonl,PENDING,execute-next,
R_P10_08,plan L1608-L1615,Phase 10: /repro-discover 增强,YES,P10_T08,commands/repro-discover.md,,.execution/evidence/P10_T08_diff.txt,PENDING,execute-next,
R_P10_09,plan L1618-L1625,Phase 10: /repro-crawl 命令,YES,P10_T09,commands/repro-crawl.md,,.execution/evidence/P10_T09_command.md,PENDING,execute-next,
R_P11_01,plan L1631-L1708,Phase 11: project_memory 吸收流程,YES,P11_T01,templates/project_memory.md,,.execution/evidence/P11_T01_diff.txt,PENDING,execute-next,
R_P11_02,plan L1642-L1650,Phase 11: repro-lead 吸收流程,YES,P11_T02,agents/repro-lead.md,,.execution/evidence/P11_T02_diff.txt,PENDING,execute-next,
R_P11_03,plan L1652-L1661,Phase 11: reproctl 5 原则检查,YES,P11_T03,scripts/reproctl.py,,.execution/evidence/P11_T03_principles_test.log,PENDING,execute-next,
R_P11_04,plan L1663-L1675,Phase 11: /repro-evolution 8 步,YES,P11_T04,commands/repro-evolution.md,,.execution/evidence/P11_T04_command.md,PENDING,execute-next,
R_P11_05,plan L1677-L1686,Phase 11: test_regression 9 项,YES,P11_T05,tests/test_regression.py,,.execution/evidence/P11_T05_regression_test.log,PENDING,execute-next,高风险
