component,feature,R0,R1,R2,R3,R4,R5
plugin,installable_pip_editable,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
plugin,version_single_source,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
plugin,reproctl_console_script,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,bootstrap_state_machine,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,plan_yaml_frontmatter,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,plan_hash_tracking,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,plan_schema_v2,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,mode_model_3d,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,legacy_mode_migration,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,authorization_contract,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,deny_by_default_auth,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,write_path_enforcement,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,expired_revoked_auth,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,SQLite_state_store,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,state_enums_project,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,state_enums_task,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,PASSED_only_by_verifier,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,WAIVED_semantics,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,legacy_state_migration,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,BLOCKED_STATE_CONFLICT,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,snapshot_export_only,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,transaction_rollback,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
startup,recovery_consistency,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,TESTED,N/A,N/A
core,single_state_authority,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,EVIDENCE_VERIFIED,N/A,N/A
core,canonical_db_path,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,N/A,N/A
core,authorization_bound_hash_with_schema,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,N/A,N/A
core,NEEDS_RECONFIRMATION_on_schema_upgrade,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,IMPLEMENTED,N/A,N/A
core,test_single_state_authority,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,TESTED,N/A,N/A
orchestrator,state_store_shim,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,N/A,N/A
orchestrator,task_executor,IMPLEMENTED,IMPLEMENTED,STUB,NOT_IMPLEMENTED,N/A,N/A
orchestrator,approval_gate,IMPLEMENTED,IMPLEMENTED,STUB,NOT_IMPLEMENTED,N/A,N/A
orchestrator,recovery,IMPLEMENTED,IMPLEMENTED,STUB,NOT_IMPLEMENTED,N/A,N/A
orchestrator,controller,IMPLEMENTED,IMPLEMENTED,STUB,NOT_IMPLEMENTED,N/A,N/A
orchestrator,plan_execution,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,N/A,N/A
l0_l3,L0_smoke,STUB,STUB,STUB,NOT_IMPLEMENTED,N/A,N/A
l0_l3,L1_fast,STUB,STUB,STUB,NOT_IMPLEMENTED,N/A,N/A
l0_l3,L2_strict,STUB,STUB,STUB,NOT_IMPLEMENTED,N/A,N/A
l0_l3,L3_statistical,STUB,STUB,STUB,NOT_IMPLEMENTED,N/A,N/A
paper,SiamKPConv_integration,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,N/A,N/A
ci,ci_l1,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,N/A,N/A
ci,ci_l2,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,N/A,N/A
ci,ci_l3,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,N/A,N/A
legend,,,,,,,,
IMPLEMENTED,Code written and tested,,,,,,
STUB,Stub/skeleton with minimal test,,,,,,
TESTED,Fully tested end-to-end,,,,,,
NOT_IMPLEMENTED,Not yet started,,,,,,
